departamento,states_code,id,año,casos
AMAZONAS,AMA,1,2016,27
ANTIOQUIA,ANT,2,2016,3041
ARAUCA,ARA,3,2016,149
ATLANTICO,ATL,4,2016,786
SANTAFE DE BOGOTA D.C,BOG,5,2016,2886
BOLIVAR,BOL,6,2016,640
BOYACA,BOY,7,2016,526
CALDAS,CAL,8,2016,739
CAQUETA,CAQ,9,2016,229
CASANARE,CAS,10,2016,192
CAUCA,CAU,11,2016,523
CESAR,CES,12,2016,428
CHOCO,CHO,13,2016,59
CORDOBA,COR,14,2016,449
CUNDINAMARCA,CUN,15,2016,696
GUAINIA,GUA,16,2016,15
GUAVIARE,GUA,17,2016,45
HUILA,HUI,18,2016,843
LA GUAJIRA,GUA,19,2016,88
MAGDALENA,MAG,20,2016,346
META,MET,21,2016,392
NARIÑO,NAR,22,2016,836
NORTE DE SANTANDER,NOR,23,2016,458
PUTUMAYO,PUT,24,2016,275
QUINDIO,QUI,25,2016,388
RISARALDA,RIS,26,2016,441
SAN ANDRES,SAN,27,2016,11
SANTANDER,SAN,28,2016,578
SUCRE,SUC,29,2016,239
TOLIMA,TOL,30,2016,755
VALLE DEL CAUCA,VAL,31,2016,1427
VAUPES,VAU,32,2016,29
VICHADA,VIC,33,2016,11
AMAZONAS,AMA,1,2017,47
ANTIOQUIA,ANT,2,2017,4762
ARAUCA,ARA,3,2017,223
ATLANTICO,ATL,4,2017,1196
SANTAFE DE BOGOTA D.C,BOG,5,2017,2371
BOLIVAR,BOL,6,2017,903
BOYACA,BOY,7,2017,680
CALDAS,CAL,8,2017,942
CAQUETA,CAQ,9,2017,296
CASANARE,CAS,10,2017,241
CAUCA,CAU,11,2017,831
CESAR,CES,12,2017,566
CHOCO,CHO,13,2017,96
CORDOBA,COR,14,2017,650
CUNDINAMARCA,CUN,15,2017,1351
GUAINIA,GUA,16,2017,13
GUAVIARE,GUA,17,2017,34
HUILA,HUI,18,2017,1021
LA GUAJIRA,GUA,19,2017,198
MAGDALENA,MAG,20,2017,534
META,MET,21,2017,600
NARIÑO,NAR,22,2017,1207
NORTE DE SANTANDER,NOR,23,2017,750
PUTUMAYO,PUT,24,2017,338
QUINDIO,QUI,25,2017,486
RISARALDA,RIS,26,2017,661
SAN ANDRES,SAN,27,2017,9
SANTANDER,SAN,28,2017,922
SUCRE,SUC,29,2017,331
TOLIMA,TOL,30,2017,871
VALLE DEL CAUCA,VAL,31,2017,2597
VAUPES,VAU,32,2017,57
VICHADA,VIC,33,2017,22
AMAZONAS,AMA,1,2018,57
ANTIOQUIA,ANT,2,2018,5009
ARAUCA,ARA,3,2018,199
ATLANTICO,ATL,4,2018,1561
SANTAFE DE BOGOTA D.C,BOG,5,2018,2312
BOLIVAR,BOL,6,2018,1040
BOYACA,BOY,7,2018,695
CALDAS,CAL,8,2018,1007
CAQUETA,CAQ,9,2018,284
CASANARE,CAS,10,2018,267
CAUCA,CAU,11,2018,883
CESAR,CES,12,2018,622
CHOCO,CHO,13,2018,113
CORDOBA,COR,14,2018,843
CUNDINAMARCA,CUN,15,2018,1839
GUAINIA,GUA,16,2018,16
GUAVIARE,GUA,17,2018,46
HUILA,HUI,18,2018,969
LA GUAJIRA,GUA,19,2018,219
MAGDALENA,MAG,20,2018,549
META,MET,21,2018,646
NARIÑO,NAR,22,2018,1241
NORTE DE SANTANDER,NOR,23,2018,892
PUTUMAYO,PUT,24,2018,325
QUINDIO,QUI,25,2018,568
RISARALDA,RIS,26,2018,793
SAN ANDRES,SAN,27,2018,13
SANTANDER,SAN,28,2018,1085
SUCRE,SUC,29,2018,426
TOLIMA,TOL,30,2018,1033
VALLE DEL CAUCA,VAL,31,2018,2898
VAUPES,VAU,32,2018,100
VICHADA,VIC,33,2018,19
AMAZONAS,AMA,1,2019,63
ANTIOQUIA,ANT,2,2019,5162
ARAUCA,ARA,3,2019,204
ATLANTICO,ATL,4,2019,1725
SANTAFE DE BOGOTA D.C,BOG,5,2019,2218
BOLIVAR,BOL,6,2019,931
BOYACA,BOY,7,2019,817
CALDAS,CAL,8,2019,1132
CAQUETA,CAQ,9,2019,272
CASANARE,CAS,10,2019,284
CAUCA,CAU,11,2019,870
CESAR,CES,12,2019,624
CHOCO,CHO,13,2019,114
CORDOBA,COR,14,2019,932
CUNDINAMARCA,CUN,15,2019,1954
GUAINIA,GUA,16,2019,24
GUAVIARE,GUA,17,2019,54
HUILA,HUI,18,2019,952
LA GUAJIRA,GUA,19,2019,282
MAGDALENA,MAG,20,2019,592
META,MET,21,2019,722
NARIÑO,NAR,22,2019,1369
NORTE DE SANTANDER,NOR,23,2019,914
PUTUMAYO,PUT,24,2019,370
QUINDIO,QUI,25,2019,628
RISARALDA,RIS,26,2019,1249
SAN ANDRES,SAN,27,2019,16
SANTANDER,SAN,28,2019,1145
SUCRE,SUC,29,2019,406
TOLIMA,TOL,30,2019,1441
VALLE DEL CAUCA,VAL,31,2019,3096
VAUPES,VAU,32,2019,56
VICHADA,VIC,33,2019,23
AMAZONAS,AMA,1,2020,61
ANTIOQUIA,ANT,2,2020,4283
ARAUCA,ARA,3,2020,193
ATLANTICO,ATL,4,2020,1320
SANTAFE DE BOGOTA D.C,BOG,5,2020,3017
BOLIVAR,BOL,6,2020,829
BOYACA,BOY,7,2020,713
CALDAS,CAL,8,2020,1003
CAQUETA,CAQ,9,2020,200
CASANARE,CAS,10,2020,269
CAUCA,CAU,11,2020,746
CESAR,CES,12,2020,542
CHOCO,CHO,13,2020,80
CORDOBA,COR,14,2020,707
CUNDINAMARCA,CUN,15,2020,1512
GUAINIA,GUA,16,2020,18
GUAVIARE,GUA,17,2020,41
HUILA,HUI,18,2020,750
LA GUAJIRA,GUA,19,2020,233
MAGDALENA,MAG,20,2020,486
META,MET,21,2020,608
NARIÑO,NAR,22,2020,1041
NORTE DE SANTANDER,NOR,23,2020,751
PUTUMAYO,PUT,24,2020,326
QUINDIO,QUI,25,2020,479
RISARALDA,RIS,26,2020,927
SAN ANDRES,SAN,27,2020,9
SANTANDER,SAN,28,2020,1088
SUCRE,SUC,29,2020,370
TOLIMA,TOL,30,2020,1134
VALLE DEL CAUCA,VAL,31,2020,2372
VAUPES,VAU,32,2020,42
VICHADA,VIC,33,2020,22
AMAZONAS,AMA,1,2021,63
ANTIOQUIA,ANT,2,2021,4482
ARAUCA,ARA,3,2021,158
ATLANTICO,ATL,4,2021,1483
SANTAFE DE BOGOTA D.C,BOG,5,2021,4562
BOLIVAR,BOL,6,2021,895
BOYACA,BOY,7,2021,785
CALDAS,CAL,8,2021,1063
CAQUETA,CAQ,9,2021,257
CASANARE,CAS,10,2021,290
CAUCA,CAU,11,2021,656
CESAR,CES,12,2021,510
CHOCO,CHO,13,2021,77
CORDOBA,COR,14,2021,934
CUNDINAMARCA,CUN,15,2021,1658
GUAINIA,GUA,16,2021,23
GUAVIARE,GUA,17,2021,56
HUILA,HUI,18,2021,785
LA GUAJIRA,GUA,19,2021,224
MAGDALENA,MAG,20,2021,546
META,MET,21,2021,701
NARIÑO,NAR,22,2021,1267
