Principio de PAP,Categoría,Subcategoría,Descripción,Ejemplos/Detalles,Recursos en Colombia (Ministerio de Salud y OPS)
Escuchar,Estrategias de Escucha,Escucha Activa,Técnicas de escucha activa para que la persona se sienta comprendida y apoyada,"Mantener contacto visual, responder con frases de afirmación",Capacitación en PAP de la Cruz Roja Colombiana
Escuchar,Evaluación Inicial,Evaluar Nivel de Crisis,"Pautas para identificar signos de riesgo alto (expresiones de desesperanza, comentarios suicidas)",Preguntas abiertas sobre cómo se siente la persona,Línea Nacional de Crisis y Emergencias (123)
Escuchar,Validación Emocional,Validación de Sentimientos,Cómo ayudar a la persona a reconocer sus emociones sin juzgarlas,"Decir ""es normal sentirse así en momentos difíciles""","Línea de Atención 106, enfocada en adolescentes y jóvenes"
Conectar,Redes de Apoyo,Contacto con Familiares/Amigos,Ayudar a la persona a identificar personas de confianza con quienes pueda hablar,"""¿Hay alguien en quien confíes a quien podamos llamar?""",Línea 192 de apoyo psicológico en situaciones de emergencia
Conectar,Recursos de Apoyo,Información sobre Servicios de Salud,Informar sobre centros de atención y líneas de ayuda disponibles en su localidad,Brindar contactos de instituciones locales,Hospital Mental de Antioquia y otros centros especializados
Conectar,Apoyo Comunitario,Grupos de Apoyo,Información sobre grupos o asociaciones de apoyo comunitario para acompañamiento en salud mental,"Grupos de apoyo en iglesias, centros comunitarios",Directorio de grupos de apoyo del Ministerio de Salud
Calmar,Estrategias de Regulación,Técnicas de Respiración,Técnicas para reducir la ansiedad y restablecer el control emocional a través de la respiración,"Respiración diafragmática, inhalar por 4 segundos, exhalar por 6","Recursos virtuales (apps de bienestar como ""Respira Colombia"")"
Calmar,Control del Pensamiento,Reducción de Pensamientos Negativos,Técnicas para reemplazar pensamientos negativos con positivos,"Técnica de la ""caja de pensamiento"": analizar cada pensamiento",Recursos de Salud Mental en línea Porque quiero estar bien
Calmar,Estrategias de Relajación,Ejercicios de Relajación Muscular,Técnicas para reducir tensión física y emocional a través de la relajación muscular,Tensión y relajación progresiva de grupos musculares,Material descargable del Ministerio de Salud
Proteger,Seguridad Personal,Evaluación de Riesgo,Estrategias para identificar y reducir riesgos físicos y emocionales en el momento de la intervención,Preguntar si tiene pensamientos suicidas o autolesiones,Línea Nacional de Emergencia 123 y Línea de Prevención del Suicidio
Proteger,Recursos para Situaciones Críticas,Protocolos de Emergencia,Acciones en caso de que la persona esté en riesgo inmediato,"Contactar emergencias, no dejar sola a la persona",123 Emergencias; Línea Nacional de Prevención del Suicidio
Proteger,Planificación de Seguridad,Plan de Seguridad,Ayuda para crear un plan sencillo que aumente la seguridad hasta que se pueda recibir atención formal,"Identificar lugares seguros, contactos de emergencia","Aplicación ""Mi Seguridad"", que permite acceso rápido a contactos"
